mun,pop,gfrac,bfrac,sfrac,S,k,lon,lat,norm_gfrac,norm_sfrac,lang_coeff
Tui,6098,0.132,0.579,0.289,0.45,0.78,-8.64,42.05,0.3135391923990499,0.6864608076009501,-0.37292161520190015
Val do Dubra,985,0.192,0.59,0.218,0.49,0.75,-8.66,43.02,0.46829268292682924,0.5317073170731706,-0.06341463414634141
Valdoviño,1056,0.081,0.435,0.484,0.17,0.83,-8.14,43.61,0.1433628318584071,0.856637168141593,-0.7132743362831859
Valga,434,0.19,0.667,0.143,0.48,0.75,-8.65,42.7,0.5705705705705706,0.42942942942942947,0.14114114114114112
Vedra,340,0.192,0.59,0.218,0.49,0.75,-8.4,42.78,0.46829268292682924,0.5317073170731706,-0.06341463414634141
Verea,106,0.5,0.467,0.033,0.64,0.76,-7.95,42.1,0.9380863039399624,0.06191369606003752,0.8761726078799249
Verín,14760,0.5,0.467,0.033,0.64,0.76,-7.44,41.94,0.9380863039399624,0.06191369606003752,0.8761726078799249
Viana do Bolo,1453,0.5,0.467,0.033,0.64,0.76,-7.11,42.18,0.9380863039399624,0.06191369606003752,0.8761726078799249
Vigo,297332,0.039,0.512,0.449,0.24,0.8,-8.72,42.24,0.07991803278688525,0.9200819672131147,-0.8401639344262295
Vila de Cruces,1352,0.48,0.36,0.16,0.58,0.69,-8.17,42.79,0.75,0.25,0.5
Vilaboa,96,0.058,0.481,0.462,0.16,0.8,-8.64,42.36,0.11153846153846154,0.8884615384615385,-0.7769230769230769
Vilagarcía de Arousa,19548,0.19,0.667,0.143,0.48,0.75,-8.77,42.59,0.5705705705705706,0.42942942942942947,0.14114114114114112
Vilalba,5942,0.154,0.641,0.205,0.5,0.78,-7.68,43.3,0.42896935933147634,0.5710306406685237,-0.14206128133704737
Vilamartín de Valdeorras,639,0.188,0.5,0.313,0.17,0.73,-7.06,42.41,0.37524950099800397,0.624750499001996,-0.249500998003992
Vilamarín,187,0.073,0.6,0.327,0.35,0.8,-7.89,42.46,0.18249999999999997,0.8175,-0.635
Vilanova de Arousa,2093,0.19,0.667,0.143,0.48,0.75,-8.83,42.56,0.5705705705705706,0.42942942942942947,0.14114114114114112
Vilar de Barrio,2000,0.5,0.467,0.033,0.64,0.76,-7.61,42.16,0.9380863039399624,0.06191369606003752,0.8761726078799249
Vilar de Santos,391,0.5,0.467,0.033,0.64,0.76,-7.79,42.09,0.9380863039399624,0.06191369606003752,0.8761726078799249
Vilardevós,254,0.5,0.467,0.033,0.64,0.76,-7.31,41.91,0.9380863039399624,0.06191369606003752,0.8761726078799249
Vilariño de Conso,147,0.5,0.467,0.033,0.64,0.76,-7.18,42.17,0.9380863039399624,0.06191369606003752,0.8761726078799249
Vilarmaior,339,0.4,0.52,0.08,0.6,0.75,-8.33,43.11,0.8333333333333333,0.16666666666666666,0.6666666666666666
Vilasantar,107,0.02,0.475,0.505,0.3,0.78,-8.12,43.07,0.03809523809523809,0.9619047619047618,-0.9238095238095237
Vimianzo,1412,0.657,0.286,0.057,0.71,0.85,-9.03,43.11,0.9201680672268907,0.07983193277310924,0.8403361344537814
Viveiro,16000,0.318,0.545,0.136,0.56,0.76,-7.59,43.66,0.7004405286343612,0.29955947136563876,0.4008810572687225
Xermade,106,0.154,0.641,0.205,0.5,0.78,-7.81,43.36,0.42896935933147634,0.5710306406685237,-0.14206128133704737
Xinzo de Limia,6958,0.5,0.467,0.033,0.64,0.76,-7.73,42.06,0.9380863039399624,0.06191369606003752,0.8761726078799249
Xove,1295,0.318,0.545,0.136,0.56,0.76,-7.51,43.69,0.7004405286343612,0.29955947136563876,0.4008810572687225
Xunqueira de Ambía,1900,0.188,0.5,0.313,0.17,0.73,-7.74,42.21,0.37524950099800397,0.624750499001996,-0.249500998003992
Xunqueira de Espadanedo,386,0.188,0.5,0.313,0.17,0.73,-7.63,42.32,0.37524950099800397,0.624750499001996,-0.249500998003992
Zas,471,0.657,0.286,0.057,0.71,0.85,-8.91,43.1,0.9201680672268907,0.07983193277310924,0.8403361344537814
